unit,INTRO TO RUBY DEVELOPMENT
topic,Intro to Programming
read,Intro to Tic Tac Toe
read,MINSWAN- Yukihuro Matsumoto
read,What is a Program?
lab,Hello World
lab,Welcome to Tic Tac Toe
topic,Debugging 
read,Intro to IRB
lab,Reading Error Messages
topic,Variables
read,About Variable Assignment
lab,Variable Assignment Lab
read,Ruby Data Types
read,Array Basics
lab,Tic Tac Toe Board
topic,Methods
read,Intro to Methods
read,String Interpolation
read,Puts and Return
lab,Display Tic Tac Toe Board Example
read,Methods and Arguments
lab,"TDD, Rspec, and Learn"
read,Default Arguments
lab,Say Hello
lab,Interpolation Super Power
lab,Display Tic Tac Toe Board
topic,Command Line Applicaitions
read,Intro to CLI Applications
read,CLI Applications in Ruby
lab,gets CLI Input
lab,Greeting CLI Lab
lab,Tic Tac Toe Move
topic,Logic and Conditions
read,Truthiness
read,Booleans
read,About Ruby Conditionals
lab,Rspec Fizzbuzz
lab,Tic Tac Toe Position Taken 
lab,Valid Tic Tac Toe Move
topic,Loops
read,Intro to Loops
read,Loops
read,While and Until Loops
lab,While and Until Loops Lab
lab,Tic Tac Toe Turn
lab,Tic Tac Toe Play Loop
topic,Iteration
read,Iteration and Abstraction
read,Intro to Ruby Iterators
topic,Ruby TTT
lab,Tic Tac Toe Current Player
read,Nested Arrays
read,Boolean Enumerables
read,Search Enumerables
lab,Tic Tac Toe Game Status
lab,Tic Tac Toe in Ruby
topic,Intro to OO
read,Intro to Object Orientation
read,Classes and Instances
lab,Classes and Instances Lab
topic,Instance Methods
read,Instance Methods
lab,Instance Methods Lab
read,Instance Variables
read,Object Attributes Readme
lab,Object Attributes Lab
topic,Object Lifecycles
read,Object Initialization
lab,Object Initialize Lab
topic,Object Models
lab,OO Barking Dog
read,Procedural vs Object Oriented Ruby
lab,OO Tic Tac Toe
topic,GIT AND GITHUB
topic,Git
read,Intro to Version Control
read,Git Repository Basics
read,Git Repository Basics Quiz
topic,Github  
read,Git Forks and Clones
read,Git Remotes and Github
read,Git Remotes and Github Codealong
topic,Collaboration
read,Github Pull Requests
read,Git Collaboration
read,Git Collaboration Quiz
read,Git Basics Quiz
topic,HTML AND CSS
topic,Web Fundamentals
read,How the Web Works
read,Site Planning
topic,HTML Fundamentals
read,HTML Fundamentals
read,Setting Up a New Site
read,Document Structure
read,Text Formatting
read,HTML Lists
read,HTML Tables
read,HTML Images
read,HTML Links
read,HTML Backing Up Changes
read,HTML Validation
read,HTML Fundamentals Quiz
read,Dev Tools Super Power
lab,HTML Album Cover
lab,HTML Riyadh Blog
lab,HTML Issue Bot 9000
topic,Site Publishing
read,Site Publishing to FTP
read,Site Publishing to Github Pages
topic,HTML5
read,HTML Forms and iFrames
lab,HTML Map Contact Form Code Along
read,HTML5 Media
lab,HTML5 Video Embed Codealong
read,HTML5 Semantic Elements
lab,HTML5 Semantic Elements Code Along
read,HTML5 Quiz
topic,CSS
read,CSS Fundamentals
lab,CSS Styling Code-Along
read,CSS Fundamentals Quiz
lab,My Little Rainbow
lab,CSS Kitten Wheelbarrow
lab,CSS Graffiti Override
lab,CSS Issue Bot 9000
lab,Deploy Your Profile Page
topic,Page Layout
read,Box Model
read,Layout Types
read,Overflow
read,Fluid Height
read,Display
read,Float
read,Clearfix
read,Centering
read,Column Structure
read,Positioning
read,Z Index
lab,Codealong Creating Columns
read,CSS Layout Quiz
lab,Zetsy
lab,ZHW Shoes Layout
topic,Box Styles
lab,Box Style Codealong
topic,Responsive Layout  
read,Building Responsive Sites
read,Media Queries
read,Responsive Media
read,Responsive Type
read,Viewport
read,Responsive Layout Quiz
lab,Adding Responsive Features Codealong
lab,Animal Save
topic,Bootstrap Framework
read,Introduction to Bootstrap
read,Bootstrap Codealong
read,Bootstrap Grid System
lab,Layout Grids Codealong
lab,Bootstrap Navbar Codealong
read,Bootstrap JS Plugins
lab,Bootstrap Image Carousel Codealong
topic,PROCEDURAL RUBY
topic,Variables and Methods
read,About Variable Assignment
lab,Variable Assignment Lab
read,String Interpolation
read,Defining Methods
read,Methods and Arguments
lab,Methods and Arguments Lab
read,Methods and Default Arguments
lab,Methods and Default Arguments Lab
read,Return Values
lab,Return Values Lab
lab,Debugging with Pry
read,Method Scope
lab,Method Scope Lab
topic,Booleans
read,Booleans and Truthiness in Ruby
read,Boolean Operators
read,Truthiness Code Challenge
topic,Logic and Conditionals 
read,If Statements
lab,If Statements Lab
lab,Ternary Operators and Statement Modifiers
read,If Statements Quiz
read,Case Statements
read,Case Statements Quiz
read,Logic and Conditionals Quiz
topic,Looping
read,Intro to Loops
read,Looping
lab,Looping Lab
lab,Times
read,Looping Quiz
read,While and Until Loops
lab,While and Until Loops Lab
lab,Countdown to Midnight Lab
topic,Arrays
read,Intro to Arrays
read,Using Arrays
lab,Using Arrays Lab
read,Arrays and Methods
lab,Arrays and Methods Lab
topic,Iteration
read,Iteration and Abstraction
read,Intro to Ruby Iterators
lab,Square Array Lab
lab,Badges and Schedules Lab
lab,Deli Counter Lab
lab,Oxford Comma Lab
read,Collect and Return Values
lab,Reverse Each Word Lab
lab,Yield and Blocks
lab,Each Lab
lab,Return from Yield Statements
lab,Collect Lab
read,Boolean Enumerators
read,Search Enumerators
lab,My All? Lab
lab,My Find Lab
lab,Cartoon Collections Lab
read,Enumerators Code Challenge
lab,Prime? Lab
read,Sorting
lab,Sorting Lab
topic,Hashes  
lab,Introduction to Hashes
read,Using Hashes
lab,Symbols
read,Hash Iteration with Each
lab,Hash Iteration with Collect
read,Hash Iteration Lab
topic,Data Structures
read,Intro to Nested Hashes
read,Building Nested Hashes
lab,Building Nested Hashes Lab
lab,Nested Hashes Lab
lab,Multitype Collections Lab
read,Nested Hash Iteration
lab,Iterating over Nested Hashes Codealong
lab,Other Hashes Codealong
lab,Hashes Manipulation Lab
topic,Regex
read,What's a Pattern
